Protein	P1Na	P2Na	P3Na	P4Na	P5Na	P6Na	P7Na	P8Na	P9Na	P10Na	P11Na	P1Ta	P2Ta	P3Ta	P4Ta	P5Ta	P6Ta	P7Ta	P8Ta	P9Ta	P10Ta	P11Ta	P12Na	P13Na	P14Na	P15Na	P16Na	P17Na	P18Na	P19Na	P12Ta	P13Ta	P14Ta	P15Ta	P16Ta	P17Ta	P18Ta	P19Ta	P1Nb	P2Nb	P3Nb	P4Nb	P5Nb	P6Nb	P7Nb	P8Nb	P9Nb	P10Nb	P11Nb	P1Tb	P2Tb	P3Tb	P4Tb	P5Tb	P6Tb	P7Tb	P8Tb	P9Tb	P10Tb	P11Tb	P12Nb	P13Nb	P14Nb	P15Nb	P16Nb	P17Nb	P18Nb	P19Nb	P12Tb	P13Tb	P14Tb	P15Tb	P16Tb	P17Tb	P18Tb	P19Tb
Q92499	6981	12040	17330	7259	20156	1	1	8448	1	1	1	26440	8754	13246	18306	15361	1	35457	19806	1	1	19044	1	1	1	1	1	1	1	8289	33228	26738	41195	22065	28283	11063	24945	13265	6869	20373	17501	6520	20169	1	18921	15646	6822	1	7313	25995	8733	12935	12290	15148	1	34313	8213	1	1	18000	1	1	5568	1	1	1	5028	1	29504	25535	40097	19730	30202	9775	24127	11951
Q92506	57013	11630	49590	65414	49236	36447	61497	67503	80840	1	55647	12761	13853	13229	11190	1	1	33104	17252	50242	1	40488	38543	1	62319	21225	48769	43533	65723	56146	47741	20274	12904	14680	39195	18898	20956	19436	51827	6209	46488	57959	44880	32669	59524	67638	76911	1	52040	11493	15157	12732	12479	1	1	29442	18663	47026	1	39694	38613	1	60599	21632	47950	41196	60877	55052	47146	19373	12607	14237	37720	17835	19923	18375
Q92520	1	1	68395	13174	1	1	1	13611	53872	18983	41268	31442	69023	10330	1	1	67796	1	1	48935	8385	1	1	14977	1	29213	23220	37070	37093	1	1	1	1	33313	1	1	18703	11699	10296	57118	70920	12959	35719	43005	12988	1	1	15905	40365	1	63776	1	1	1	65910	7732	1	47373	6799	1	1	14753	1	28610	22595	35717	36995	16796	1	1	24133	28850	1	16083	1	12445
Q92522	1805	16365	9102	2950	9129	2507	3150	1991	6638	1	6710	2144	6249	1	9327	6100	1398	4799	12974	1	1	1	1	1	1	1912	1	1085	1	1	8763	2712	20182	1	3325	19818	10462	1554	1652	12838	8361	2251	7330	2168	6330	1939	5840	1	6607	2683	4385	802	9229	4060	1	4083	11303	1	1	1	1	1	1	1	1	1	1	1	7485	2020	16456	2630	2940	16368	7234	1475
Q92530	1	9318	11136	7956	8465	5645	8900	9342	9158	1	8880	18467	8078	9089	8104	6461	6950	10636	10014	1	1	1	6095	1	8245	5074	6753	7415	6288	8257	9813	12416	14922	7102	8852	9004	12776	5713	7028	8360	9939	6692	7177	4942	6356	9260	8263	1	8212	16765	7930	9577	7079	5977	6105	10314	8827	1	1	4153	1	1	7385	4996	6535	7513	5560	6848	9398	10397	16759	6178	8334	8383	12794	5282
Q92542	4448	1188	1066	3791	1138	1	10961	5998	2819	1	3619	1	1608	8380	7453	1	1	2701	7226	2966	1	51721	1	1	1	1	1	1	1	5863	9878	12999	24121	7764	8949	1189	6805	980	1	1263	957	7274	12777	2903	1321	5254	1	1	9183	3921	1	1	22373	1	1237	20127	6006	14628	1	6604	7770	1	1	1	5542	1	1	4888	9906	11092	7699	12635	10780	4419	6349	3123
Q92552	55467	41509	9588	1	11234	24905	1	1	111442	77053	1	1	1	21560	18085	1	9937	80277	1	64170	158670	1883	1	129218	29273	28505	1	31280	1	1	90132	7833	33584	30733	27950	1	46855	2348	1	38681	11138	65640	8831	24289	1	51797	1	88053	1	1	1	19766	18577	1	9967	81073	1	1	152966	64361	29366	125944	39100	29781	1	1	1	7011	85499	7310	39616	31220	26815	1	2911	21715
Q92574	1	1	1	30046	1	1	1	1	1	1	1	1	1	10713	1	11417	1	1	1	1	55196	1	1	107846	1	1	33546	1	1	1	1	1	1	1	1	1	1	1	1	1	1	27746	1	1	1	1	1	48703	1	1	1	1	1	1	1	1	1	1	52779	1	1	118562	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Q92597	321497	4537	3866	4509	4022	2144	3534	1964	3485	276245	4454	599822	1811	308153	2711	349441	11468	3507	5175	4757	150614	216660	363965	211378	484467	1	2018	2920	2733	457774	7265	2742	19446	3479	5765	6969	63359	3302	2037	3510	3303	3015	2864	1704	2729	2166	3383	220369	3176	1	1657	280949	2451	300127	10240	2916	4051	4790	151392	3840	335443	201086	3453	1	1655	2245	2090	2757	7493	2815	18743	3538	5075	5689	58775	2318
Q92598	1	1	1	1	1	1	1	1	1	226824	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	100677	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	107632	1	1	1	1	1	1	45311	1	1	1	32137	1	1	1	99968	1	1	202139	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Q92599	1	16473	5079	1	4520	1	1	1	1	1	1	1	4742	2450	1782	1	2399	64717	4245	1	49429	1	49218	58402	1	1	1	1	1	1	1582	5883	9754	4598	1	10510	2936	621	1	14914	3427	1	1	2174	1	1	1	1	1	1	4584	1	6530	2968	1885	1	1	1	43602	855	1	1	1	1	1	1	1	1	1	1889	8324	1552	86340	8713	4644	1342
Q92604	3950	1	4827	5881	5574	1	3746	1	1	1	1	11865	1	5165	6233	1	1	6371	5133	1	1	4650	1	1	1	1	1	1	1	1	10350	9365	9633	5312	13065	4572	1	4511	3326	1	4883	4930	1	3670	1	1	1	1	1	11144	1	1	5988	1	1	6008	1	1	1	3767	1	1	1	1	1	1	1	1	10684	8492	9537	5363	10745	1	1	4542
Q92614	3972	1	4547	4353	4378	1	3788	3427	4276	1	4666	1	1	1	1	3043	1	5898	3795	7362	1	4836	3585	1	4301	2961	3199	2634	4301	3556	5333	7175	5970	3223	1	4356	2401	2580	2965	4172	3859	4098	4044	1	4357	3396	3531	1	4996	6264	1	1	1	2086	1	5869	3351	7196	1	4041	4102	1	3715	2736	3531	1	5051	3150	5978	6517	5256	3734	1	4437	1	2198
Q92616	1	1	2510	1	2407	1	1	1	1	1	1	5074	1	1	1	1	1	3303	3559	1	1	1	1	1	1	1	1	1	1	1	3275	1	4565	2742	3894	3070	4691	1	1	1	1	1	1	1	1	1	1	1	1	4152	1	1	2326	2148	1	1	3302	1	1	2170	1	1	1	1	1	1	1	1	3586	1	3920	2739	3895	2298	4043	1
Q92620	1	1	1	1	1	1	1	1	1	18354	1	1	1	1	25462	1	19322	1	1	1	50764	1	1	58856	1	1	1	1	1	1	1	1	1	1	56501	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	24565	1	1	1	1	1	52952	1	1	48468	1	1	1	1	1	1	1	1	1	1	54660	1	1	1
Q92626	11868	22414	24078	11969	18667	14185	17093	10896	16099	1	20189	23524	19798	31433	62764	53182	28217	15102	16460	19544	4511	17898	10059	23157	10341	15215	10102	11680	6831	10695	20217	29316	18023	28024	14562	42910	20576	29070	10197	24512	21600	9896	16394	6811	14042	5476	16564	1	19471	23191	19024	34553	60261	39797	27416	13738	14975	17330	1	6981	8720	22581	11262	14874	8450	10791	10671	10681	19448	28725	21435	30036	13177	11389	17516	24284
Q92667	1	126205	28696	11125	2609	16340	4953	1	3428	24374	3327	2818	6873	1	24407	9183	1	1	22741	4410	35264	5547	1	79048	1	8282	1	1	1	2223	2664	4405	3448	28316	3095	1	7999	2299	1	114041	25980	10330	3043	14032	3351	3530	2936	23389	3505	2559	1	1	23396	9466	1	3072	23466	3655	35351	7002	1	1	1	1	1	1653	1783	1	3252	4046	3740	25978	3399	1	7214	2378
Q92688	1	1	1	1	1	3611	1	1	1	1	1	1	1	1	10217	1	1	1	5600	1	1	3921	1	1	1	4544	3384	1	1	1	1	10511	14550	8260	7277	1	14784	4933	1	1	1	1	1	1	3812	1	1	1	1	1	1	1	11587	1	1	4617	5897	1	1	3661	1	1	1	1	1	1	1	1	1	10009	13099	7538	6979	1	13532	5794
Q92734	22626	19409	25689	22761	25856	19609	35629	28819	25505	8297	29580	25316	3862	17319	22287	13367	10304	52068	37072	46606	3678	40108	19271	10334	19626	19422	17888	18145	14881	21240	33098	35695	63867	33055	38108	20018	76032	29642	19294	16371	27166	22799	24405	17192	32205	26413	25807	1	27204	26241	3969	15786	22391	8231	9937	49353	32186	42188	4020	37583	18631	4346	17949	16404	15882	15768	14949	21774	32851	38610	66900	30859	33510	16141	70694	27327
Q92743	1	1	1	1	1	1	1	1	1	209473	1	1	1	3117	3864	1	1	1	1991	1	325310	1	1	296947	1	16629	1	1	1	1	1	1	1	1	57109	17327	1	1	1	3718	1	1	1	1	1	1	1	198940	1	1	1	2971	3588	1	1	1	1	1	308658	1	1	281945	1	1	1	1	1	1	1	1	1	34036	51170	13607	1	1
Q92747	13206	9027	13770	9180	10940	5916	17045	12602	12054	1	14524	9126	1	1	8294	3200	1	8047	7901	12018	1	8566	10791	3459	12448	6858	8014	7101	8281	11308	11201	12180	23347	9357	9491	6491	23494	7391	10496	8560	8473	9543	1	4864	12979	11698	11288	1	13954	8463	1	2243	9083	2836	1	9716	8396	10803	1	7569	9260	1	8810	5925	5917	6516	7803	9615	10182	10650	21937	7772	9148	5503	21737	6286
Q92805	102704	71401	96865	92871	123668	102650	115702	97843	87632	27197	111739	1	34050	1	74251	1	1	126539	37622	90485	1	266394	93577	53829	55567	113267	94059	79617	68068	1	202859	129451	117147	188712	55529	41310	120652	51218	96098	1	86335	56640	114389	92725	115012	98973	1	25952	71889	1	30703	56472	76343	5661	1	1	45129	83769	1	1	87339	47402	55784	91635	87606	1	63182	1	180060	1	114303	1	47979	36689	118371	1
Q92820	23341	89815	56620	48884	40492	38774	44632	21762	40209	1	23654	29572	14400	8004	50609	32369	26251	42702	91971	32566	1	104554	15769	7647	35644	19316	31354	18561	45909	18514	98292	85213	86812	36216	73687	133122	203939	53372	17585	63090	49440	43436	48187	35947	48744	20395	21427	1	37435	26381	12449	6641	47451	29099	22572	37650	87402	13734	5320	101988	35861	5941	13486	19446	34687	28750	41969	14383	91310	74568	71713	42361	70464	130350	198577	46146
Q92841	9962	13614	7464	13706	17283	1	13393	7199	5430	1	13308	10128	1	2811	25973	3560	3610	28216	30282	17400	3558	4687	5910	4225	1	8013	8605	8658	5615	6332	26371	24209	47683	19554	32935	16289	57330	14321	9797	12276	14469	12468	14293	4709	12287	10658	12580	4746	13250	16450	1	1	23486	7137	1	26483	27601	13593	1	12760	5649	3897	9607	7831	7070	3254	8524	5253	26837	24767	44150	19030	34230	15143	51345	11784
Q92878	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2252	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3352	2787	1	1	5297	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1732	1	1	2530	1	1	1	1	1	1	1	1	1	1	1	1	1	2116	2783	2765	1	1	4967	1
Q92882	5715	11417	9898	6773	10670	1	8874	6401	6554	1	7896	1	1	1	8746	7229	1	6895	7672	1	1	1	4897	1	5899	6150	5791	6921	7434	6148	10364	8903	8309	10286	11993	15239	1	3427	4862	9770	8120	6175	9614	7280	7953	7003	7619	1	7559	4723	1	4607	8463	6748	7633	7644	5814	5564	1	1	6250	1	6898	6948	6049	6867	7101	5979	9536	9056	7095	9149	11225	12483	1	3612
Q92890	1	61116	29956	10983	36103	165205	1	1	23131	372561	13409	25556	48373	1	1	1	82806	1	1	14159	275195	1	1	452060	23230	182249	35394	41840	41349	19593	1	1	1	77591	41656	1	1	1	10466	51934	33260	10400	36986	1	7537	1	22285	176812	12188	23104	42599	1	1	1	1	1	1	13960	263491	1	1	400994	20344	184855	56821	34639	38187	21024	1	1	1370	69106	45784	1	10154	4293
Q92896	1	1	1	1	1	1	1	1	1	1	1	1	1	1	12426	1	1	1	1	1	7011	1	1	13434	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Q92900	334584	1	1	349270	32885	1	72290	57303	25259	277607	38164	58249	1	158863	35274	1	1	48801	46058	42509	183514	39273	178343	199848	33485	13376	212573	41544	19552	48612	40943	23527	61345	29425	29335	18663	50294	9790	39824	1	20906	30910	31329	20236	72003	303108	25280	244113	37234	56254	1	6490	37618	1	1	41539	41588	40636	199242	40231	194413	189617	35545	1	1	37812	1	44339	35946	20268	54363	26851	28576	18661	45293	9481
Q92905	1	2401	2220	1705	2378	1394	1860	2065	2530	1	2222	1	1	2114	3071	2350	1371	3451	3785	1	1	3272	1	1	1	1009	1	1344	1	1163	2764	3322	4279	3065	2168	2295	4714	1576	1446	1734	1707	1684	1757	1268	1779	1	2221	1	1604	1	1	1	1	2065	1063	3217	3398	1	1	2811	1	1	1	1088	830	1	1523	959	2968	2887	3532	2711	1370	2782	4196	1214
Q92945	1064742	1044793	1091800	1111150	949308	1019451	1035115	1069050	972158	1000614	936577	937139	923243	987921	938710	1000481	965209	898998	917268	1030890	907272	922551	887064	856210	896790	936958	913337	957512	937316	932368	911832	806884	755928	907530	802556	1	364109	833176	1013765	1037625	486155	1074734	1	969656	978756	962189	995858	948576	945488	892032	917132	988677	988618	952244	922771	904452	868352	962652	687267	898418	841304	383997	847713	982655	920064	955142	917343	958342	898875	163946	759770	862857	769240	1	704288	832503
Q92947	15675	1	18273	22502	10614	6053	19776	21049	26124	1	23307	1	25073	1	1	1	1	4915	13301	26238	11217	3147	16092	59704	7186	7691	10055	15607	13785	11535	6674	4594	1	4413	4743	4358	8935	7478	11548	1	15265	19293	13072	5334	18965	19982	24453	1	22902	1	1	1	1	1	1	5083	11762	21861	11563	2580	15445	49470	6898	6694	10683	13923	11849	11396	6592	3488	1	1	4874	4764	4153	3789
Q92973	4759	6365	6782	5905	6788	1115	6141	4888	5053	1	5060	3532	1	985	6731	1	880	7713	5851	1	1	4284	674	1834	1	3904	1	1	1	1	7299	16042	11895	9444	7783	6311	12796	5192	3310	6138	6602	4573	6223	4202	6008	4876	5568	1	4474	3118	1	1085	6607	700	983	7476	6500	1	1	6113	1	1318	3208	802	1	1	1	1	7116	13321	12070	9115	6962	1317	13137	4876
Q92974	1	67021	1	53619	1	1	1	1	1	50468	1	40935	1	1	1	42362	1	1	1	1	44942	1	35768	40638	1	44962	1	44678	1	1	1	1	1	1	1	1	1	129899	1	1	1	1	1	1	1	1	1	70282	1	1	1	42204	1	48397	1	1	1	1	36601	1	53327	40963	1	1	1	1	42138	41635	1	1	1	1	1	1	54689	153721
Q92979	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	5781	6166	6138	1	1	19827	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	5467	6146	5545	1	1	17988	1
Q93008	1	1	1	34285	1	1	1	1	1	41515	1	1	1	1	60118	34740	1	1	1	1	76766	1	1	82573	1	47871	1	1	1	1	46147	53231	1	1	1	1	1	51696	1	1	1	32878	1	1	1	37319	1	39775	1	1	1	1	58528	31611	1	39359	1	1	72379	1	1	71983	1	42366	1	1	1	1	1	1	1	89044	1	1	1	49650
Q93009	1	1	1	197405	10952	200571	1	171149	180753	185731	1	146617	150105	156789	3864	162595	151918	9923	6523	160965	144400	151737	1	147569	127599	1	143591	7266	1	134241	14146	135720	53370	8734	20914	6171	1	126417	172823	1	180410	171506	9333	183773	165721	1	10013	185786	13308	139558	148357	155085	4297	153243	1	144863	1	1	140871	3757	9673	140437	1	1	1	1	124918	113454	1	1	1	123391	112115	1	1	1
Q93015	1	5687	1	1	1	1	1	1	1	1	1	45592	110496	14955	1	20018	94385	1	1	13694	15156	1	15513	1	28279	25328	26807	39011	60867	20843	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	6176	1	43386	108566	15240	1	17280	85098	1	1	13184	13924	1	14411	1	12693	24890	26951	37871	57813	18809	1	1	1	1	1	1	1	1
Q93034	252817	767415	474188	321336	475285	368192	371369	281144	343305	369134	343753	274197	286219	213009	495682	388107	198730	268847	372994	219787	590399	232373	203781	520055	255359	369991	253123	223665	235212	231206	517172	323645	471688	645150	431164	901848	363410	298477	264754	738575	465877	301300	429837	375344	365423	279077	363914	359980	351031	289013	292583	215509	516100	375157	186589	267538	385237	216625	570043	220680	186062	541314	235368	335459	223663	220444	225648	216248	468586	336320	476260	601490	408318	879593	367373	299787
Q93050	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	9270	19040	1	1	9392	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	18728	1	1	8185	1	1	7139
Q93052	1	30545	12498	9405	14935	7652	11462	4230	7664	3490	1	1	5333	1	5898	2969	1	9942	5250	1	1	1	1	5258	1	4923	4024	4180	1	1	11773	7212	15831	11371	6990	20733	11405	4585	4379	26077	12668	5430	13406	6219	1	4795	1	1	5897	1	4514	6452	11180	1	1	1	5202	1	1	1	1	1	1	1	1	3146	4355	3734	11797	6514	16738	12890	6829	18698	11757	4305
Q93088	399818	12559	212112	430069	197011	105960	343027	392088	483473	22961	588729	1	18967	14143	12793	1	1	10737	36554	682368	1	1228257	218113	1	365452	66451	181714	214741	240947	306612	54749	24558	27122	20677	15237	16431	18501	13117	368430	12218	184766	363424	212799	98893	319822	388346	457066	21141	558506	1	19365	14552	12372	1	1	11076	33585	609052	1	1244500	203749	9175	358583	50976	141945	197060	235547	290773	50486	23120	25852	22372	16736	15677	16268	12092
Q93099	103784	1	65876	125472	55835	21991	124418	147446	89150	6208	99976	1	1	4694	1	1	1	136153	34295	46526	1	171969	97704	1	93010	38856	88177	80801	72898	100487	56124	46730	27057	24875	4024	46941	20728	42799	82222	1	53372	86193	44115	21063	110628	116059	69515	1	83315	1	1	6337	1	1	1	83009	31519	36608	1	152411	70187	1	71817	35056	81212	63673	51963	117423	53127	26205	14474	18898	1	62741	28927	32893
Q969G5	38902	37233	50564	34015	48535	65389	38483	38954	48072	38463	46706	30210	33337	41199	54313	1	1	54557	27117	35169	8990	139332	27276	34038	21730	60494	34650	33290	28874	27368	80727	55104	51279	122884	20178	20887	64105	24602	35741	33043	43905	30160	49509	54196	38596	39864	50098	31530	46648	28046	10373	5575	52757	6712	1	52732	26113	41861	1	156951	22388	34144	18845	58027	35770	34026	27732	26957	76750	47211	52749	116326	18634	20167	51884	24088
Q969H8	40127	25173	62395	53207	74120	50715	61782	54599	65451	21251	51283	79104	20988	23657	74222	36471	18792	36699	30285	39506	20155	61039	39776	21899	38175	39111	36434	26894	36410	32150	43938	59049	124465	50969	85134	36001	96453	29664	37543	22341	53977	48028	66906	43876	54956	52716	61767	18453	50631	75204	22275	21588	70351	32356	16643	34086	29068	36976	17973	54422	35398	9625	33991	33126	37192	23883	34652	31013	42401	54047	116923	45019	83736	31866	88792	25686
Q969I3	24934	1	20206	21295	22836	10768	20942	25707	26782	1424	31753	1	3147	3714	2016	1	1	1	3174	32429	1	13643	20507	1	23259	15455	18374	19899	19632	26324	16769	1	1	13917	12304	3584	4377	16832	21606	1	17977	19009	19266	11162	21692	27067	25714	1	29384	1	3174	1	1783	1	1	1986	3197	27453	1	12836	21209	1	22159	15451	17113	19061	18943	24813	6851	1064	1	6260	11157	1	2973	15013
Q969M7	1	213623	1	1	1	1	1	1	1	1	1	93800	1	1	1	1	1	1	1	1	421405	1	1	643887	1	597608	1	1	1	86309	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	792367	1	1	171099	1	1	1	1	1	1	1	1	1	1	796841	1	607785	1	1	1	1	1	1	1	1	154763	1	1	1
Q969U7	12200	1	1	1	24779	15180	1	1	1	6186	1	38246	17138	1	37799	1	23759	1	1	1	20294	1	1	18897	1	19198	16460	1	1	1	1	45198	1	28930	67161	1	1	1	1	1	1	1	29665	1	1	1	1	1	1	29009	1	1	35710	1	21229	1	1	1	21417	1	1	1	1	21441	1	1	1	1	1	1	1	23456	69756	1	1	1
Q969V3	3505	2114	3396	3370	3991	2781	3660	2444	2449	1	4044	3915	1	5603	2864	1	1	4635	2708	2936	1	2885	1649	1	2117	2241	2318	1960	2065	2167	4937	6573	5734	4041	5865	2991	3836	2166	3810	2757	4275	2528	2573	3070	3171	2653	2428	1	2962	2554	1	4940	2938	5290	1	3447	1988	2757	1	2909	1856	1	1496	2096	2062	1445	2242	1832	4399	5993	5150	3884	4685	3481	4214	1782
Q969X5	1	1	3943	1	4834	1	6327	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	5982	1	1	7937	3409	3856	1	1	4368	4262	3897	6223	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	4181	5520	1	1	6490	3150
Q969Z3	11076	1	13165	16310	15838	8856	17921	12401	18093	1	12602	1	1	1	3767	1	1	11530	3708	5436	1	10034	5147	1	12778	5582	8938	9169	12511	6332	6896	13168	15180	1	6151	4847	11980	7110	10322	1	7961	14758	13259	10377	16778	11815	15890	1	12413	1	1	1	1	1	1	9855	3839	5869	1	6267	4633	1	9273	7013	7926	4968	13728	6973	4533	12493	14685	1	6392	5055	11153	7598
Q96AB3	22194	6877	30339	25364	20016	7630	34849	31443	33320	6593	40864	50289	1	19620	11163	4767	1	53361	25577	54153	1	47234	17340	1	29380	10054	65653	24715	32993	30647	31515	21946	41439	13510	19016	19411	13591	16076	21178	1	26266	24461	19104	6914	33504	29004	31894	1	34276	48483	24059	19364	7596	9982	1	51644	23982	46658	1	48253	27091	1	73824	10731	11126	21713	30681	27348	27536	21117	36977	13652	18778	17726	5236	13266
Q96AC1	4716	45828	14497	7594	12614	4118	10628	4152	13850	1	13139	6382	55394	15940	1	33298	1	4045	13401	4187	1	4376	1881	9094	7418	5447	1	4122	8299	2984	10793	4925	3832	13380	3753	55327	2009	6135	7239	39367	16842	8905	13872	10181	10532	4120	10780	1	10872	5772	44623	13500	20866	28132	1	3880	10308	2759	1	4088	3275	8351	3813	6252	6179	3147	7204	6213	15705	2621	1	9281	1	55209	1	7005
Q96AE4	11463	32498	23043	16907	23668	9552	16927	10795	5358	11947	30412	23936	9222	16995	18213	20694	20632	28612	33854	11418	22267	10118	12669	27617	21165	9365	8988	7971	15099	7990	48590	30556	47840	28894	55569	28973	24821	11701	11230	29842	26884	13977	21807	9785	16521	29749	15268	10788	15095	18534	9045	13110	23648	18885	17034	29378	30867	24529	20872	13538	11390	25355	13221	13315	10178	9789	12739	10569	46369	27830	47018	26640	54109	19242	24134	11711
Q96AG4	28604	16985	41805	26955	35591	17141	34827	30818	27684	10827	31950	108060	13323	37834	42293	46351	23522	64334	36548	29424	10576	76542	18916	8879	20796	13635	17550	19218	21654	24583	60210	79763	79379	45552	41865	32527	49908	23426	25613	14078	37239	25654	30714	15972	32386	30857	25543	10363	32310	109038	13655	34424	43750	39622	20331	57748	36810	26349	9522	82693	16677	1	18360	15590	17068	21171	21331	21413	57245	72675	65943	41457	39880	27181	44220	20720
Q96AY3	1	1	1	1	1	1	1	1	1	1	1	11413	1	1	10332	1	1	1	10754	1	12031	1	1	5192	1	1	1	1	1	1	1	1	1	12871	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	10073	1	1	12057	1	1	1	9179	1	9304	1	1	1	1	1	1	1	1	1	1	1	1	11873	1	1	1	1
Q96B36	10233	88164	39695	1	1	52814	1	1	60772	29067	47985	141277	107173	83811	94030	64632	71909	15642	86800	24924	41647	39580	7301	36667	23568	36094	15242	19876	1	13254	38703	1	44678	50619	21729	74013	1036	11555	1	79120	43755	1	1	51383	1	20008	1	24302	46736	81604	92445	84491	95674	68826	60102	15208	81148	21182	32827	1571	6749	37561	20015	32400	15472	36698	18040	1	40621	1	35093	53385	21673	67996	21504	11481
Q96BW5	364	1	1	1	1	1	1	3692	1	29877	1	1	1	598	1	624	1	1	1	1	11827	1	831	1	1	1	1	1	1	1	5231	1	5230	1	1	2604	3227	1	1	1	1	1	1	1	1	1	3707	22405	363	1	1	1	1	1	1	1	1	1	1	1	1	234	1	1	1	1	1	1	4432	1	4945	1	1	1	2578	1
Q96BY6	1	1	1	55223	45001	48190	49938	47015	51905	99765	44246	119670	46325	45865	121349	38836	85393	98583	1	74047	161113	47706	48527	99722	45082	48881	46057	52527	1	46836	41798	45119	42942	46762	174092	32441	1	39428	46686	1	1	54747	104751	65429	101134	46332	41960	30408	37206	44466	61969	38638	112895	42893	76044	43456	43303	52597	141546	1	36731	108211	42564	48922	1	46582	41911	46199	1	34867	31100	35848	151176	29732	1	39198
Q96C01	2427	1	1	2579	3631	1	3426	2938	1	1	1	7654	1	1	3298	1	1	2015	4014	1	1	1	1	1	1	1	2583	1855	1	2914	5400	1	8986	3916	1	1	16137	1	1	1	1	1	1	1	2532	1	2758	1	2785	7704	1	1	3481	1	1	2298	4333	2343	1	3306	1	1	1	1	1	1	1	1	5640	2859	7811	4552	5280	1	15695	1139
Q96C19	1	2666	2688	2329	5676	1	2251	3075	3073	6591	1	1	1	1	2714	28637	7528	8255	3796	1	19698	4488	1	9572	1	1	1	1	1	1	1	2195	1	8382	2969	1	1	1	1	2275	1	1	2946	1270	1	2561	2822	6258	1	1	1	1	1	25177	7599	7330	7720	1	17940	3819	1	9753	1	1	1	1	1	1	2532	1	1	3635	1	1530	1	1090
Q96C23	40958	14553	23359	34201	53166	40477	37645	40854	90058	1	51100	59471	27906	23030	26858	21588	4404	63737	30625	43297	1	17677	26858	6006	44519	31912	29167	28725	32764	41021	39902	30841	38961	26053	27724	24176	47449	13415	37214	13504	22691	30116	51233	36122	33676	37964	82343	1	48344	53081	27507	22733	24754	19032	8481	59435	29612	37168	1	17662	25591	5024	43962	31364	27401	23634	30705	38041	38578	29829	34449	23687	26496	21917	48633	11601
Q96C36	1	1	1	1	1	1	1	1	1	1	1	1	1	1	855	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	572	1	1062	1	1	2552	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	826	1	1	1	1	1	1526	1
Q96C86	2274	4915	3163	2246	4227	2891	2789	2069	3919	1	3018	4893	3427	4223	4361	4170	3375	5871	3096	2380	1	2683	1	1	1911	1	1	1268	1	1526	4564	5021	6022	3339	6023	4145	6797	1965	1885	4586	3223	2486	3556	2784	3118	1732	3401	1	2736	4587	2451	3758	3484	4041	2500	4182	1	2010	1	2582	1652	1	2148	1	1992	1477	1965	2249	3735	4351	5305	3665	5349	3839	6383	1681
Q96CM8	12906	1	6203	11110	8347	6493	16990	11645	1	1	11935	1	1	1	1	1	1	8714	12756	42084	1	63854	9009	1	10671	8368	7902	10679	8861	14406	12712	8060	10497	6798	20608	1	5949	1	10781	1	8171	9009	8840	7393	14656	12069	1	1	12244	1	1	1	1	1	1	7045	16526	36577	78391	59330	8830	1	10416	8578	7681	10752	7397	13672	20400	7658	10694	6266	19263	7188	6115	1
Q96CN7	38343	32486	51700	39388	51520	44583	43516	43914	60130	1	51078	30961	33865	8222	25352	1	38881	41297	31495	71940	1	36434	31682	1	41029	14826	36498	41533	42077	38403	36268	40860	45221	25668	21557	24506	36840	25206	35739	22716	50228	34317	48948	43304	44818	44478	59073	1	47648	28783	32676	1	27225	10912	42226	37721	27728	62086	1	36989	28918	1	41212	36635	33124	39223	38938	36123	34601	36900	45866	25167	1	22681	34830	24332
